# layered-euclid-burst control log
sample_rate_hz=48000 frames=772364 bpm=110 beats=24
euclid_steps=13 fills=7 rotate=4
burst_cluster=3 spacing_samples=420
euclid_seed=0xe0c11d burst_seed=0xb0057d
events=153
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_tone,resonator_color,granular_spray
8832,0.889974,0.700648,0.959001
9024,0.890990,0.701204,0.958348
9216,0.892002,0.701760,0.957692
9408,0.893009,0.702316,0.957032
9600,0.894013,0.702871,0.956370
9792,0.895013,0.703427,0.955704
9984,0.896009,0.703982,0.955035
10176,0.897001,0.704537,0.954363
10368,0.897989,0.705093,0.953688
10560,0.898973,0.705648,0.953010
10752,0.899952,0.706202,0.952329
10944,0.900928,0.706757,0.951645
11136,0.901900,0.707312,0.950959
11328,0.902867,0.707866,0.950270
11520,0.903831,0.708420,0.949578
11712,0.904790,0.708975,0.948883
11904,0.905745,0.709529,0.948186
12096,0.906696,0.710083,0.947486
12288,0.907643,0.710636,0.946783
12480,0.908585,0.711190,0.946079
12672,0.909524,0.711743,0.945371
12864,0.910458,0.712297,0.944662
13056,0.911388,0.712850,0.943950
13248,0.912314,0.713403,0.943235
13440,0.913235,0.713956,0.942519
13632,0.914152,0.714508,0.941800
13824,0.915065,0.715061,0.941080
14016,0.915974,0.715613,0.940357
14208,0.916878,0.716165,0.939632
14400,0.917778,0.716717,0.938905
14592,0.918674,0.717269,0.938176
14784,0.919565,0.717821,0.937445
14976,0.920452,0.718372,0.936713
15168,0.921335,0.718924,0.935978
15360,0.922213,0.719475,0.935242
15552,0.923087,0.720026,0.934505
15744,0.923957,0.720577,0.933765
15936,0.924822,0.721127,0.933024
16128,0.925683,0.721677,0.932281
16320,0.926539,0.722228,0.931537
16512,0.927391,0.722778,0.930792
16704,0.928238,0.723327,0.930045
16896,0.929081,0.723877,0.929296
17088,0.929919,0.724426,0.928547
17280,0.930753,0.724976,0.927796
17472,0.931582,0.725525,0.927043
17664,0.932407,0.726073,0.926290
17856,0.933228,0.726622,0.925535
18048,0.934043,0.727170,0.924780
18240,0.934855,0.727718,0.924023
18432,0.935661,0.728266,0.923265
18624,0.936463,0.728814,0.922507
18816,0.937261,0.729362,0.921747
19008,0.938054,0.729909,0.920987
19200,0.938842,0.730456,0.920226
19392,0.939626,0.731003,0.919464
19584,0.940405,0.731549,0.918701
19776,0.941179,0.732096,0.917937
19968,0.941949,0.732642,0.917173
20160,0.942714,0.733188,0.916409
20352,0.943474,0.733733,0.915644
20544,0.944230,0.734279,0.914878
20736,0.944981,0.734824,0.914112
20928,0.945728,0.735369,0.913345
21120,0.946469,0.735913,0.912578
21312,0.947206,0.736458,0.911811
21504,0.947938,0.737002,0.911043
21696,0.948665,0.737546,0.910275
21888,0.949388,0.738089,0.909507
22080,0.950106,0.738633,0.908739
22272,0.950819,0.739176,0.907971
22464,0.951527,0.739719,0.907202
22656,0.952231,0.740261,0.906434
22848,0.952929,0.740803,0.905666
23040,0.953623,0.741345,0.904897
23232,0.954312,0.741887,0.904129
23424,0.954997,0.742429,0.903361
23616,0.955676,0.742970,0.902593
23808,0.956350,0.743511,0.901825
24000,0.957020,0.744051,0.901057
24192,0.957685,0.744592,0.900290
24384,0.958345,0.745132,0.899523
24576,0.959000,0.745672,0.898757
24768,0.959650,0.746211,0.897991
24960,0.960295,0.746750,0.897225
25152,0.960935,0.747289,0.896460
25344,0.961570,0.747828,0.895695
25536,0.962201,0.748366,0.894931
25728,0.962826,0.748904,0.894168
25920,0.963446,0.749442,0.893405
26112,0.964062,0.749979,0.892643
26304,0.964672,0.750516,0.891882
26496,0.965278,0.751053,0.891121
26688,0.965878,0.751589,0.890362
26880,0.966474,0.752126,0.889603
27072,0.967065,0.752661,0.888845
27264,0.967650,0.753197,0.888088
27456,0.968230,0.753732,0.887332
27648,0.968806,0.754267,0.886576
27840,0.969376,0.754801,0.885822
28032,0.969942,0.755336,0.885069
28224,0.970502,0.755870,0.884317
28416,0.971057,0.756403,0.883567
28608,0.971607,0.756936,0.882817
28800,0.972152,0.757469,0.882068
28992,0.972692,0.758002,0.881321
29184,0.973227,0.758534,0.880575
29376,0.973757,0.759066,0.879831
29568,0.974282,0.759597,0.879088
29760,0.974801,0.760128,0.878346
