# engine-hybrid-stack control log
sample_rate_hz=48000 frames=726000 bpm=128 beats=28
euclid_steps=11 fills=6 rotate=2 steps_per_beat=4
burst_cluster=4 spacing_samples=360 frames_per_step=5625
euclid_seed=0xc0ffee burst_seed=0xb17eb5e
events=244
index,engine,when_samples,euclid_step,burst_idx,pan,sampler_brightness,sampler_drive,resonator_bloom,resonator_feedback,granular_density,macro_pan
85,resonator,225360,40,1,0.789000,0.396759,0.231664,0.209390,0.408156,0.997650,0.949947
86,granular,225720,40,2,0.880000,0.395408,0.231373,0.208964,0.407560,0.997691,0.949940
87,sampler,226080,40,3,0.264000,0.394065,0.231083,0.208541,0.406967,0.997733,0.949932
88,resonator,230625,41,0,0.817000,0.377817,0.227537,0.203460,0.399697,0.998239,0.949793
89,granular,230985,41,1,0.201000,0.376587,0.227265,0.203079,0.399138,0.998277,0.949779
90,sampler,231345,41,2,0.292000,0.375366,0.226995,0.202700,0.398582,0.998316,0.949764
91,resonator,231705,41,3,0.383000,0.374154,0.226725,0.202324,0.398029,0.998355,0.949749
92,granular,241875,43,0,0.348000,0.343621,0.219657,0.192980,0.383531,0.999317,0.949122
93,sampler,242235,43,1,0.439000,0.342677,0.219427,0.192695,0.383059,0.999346,0.949093
94,resonator,242595,43,2,0.530000,0.341742,0.219197,0.192412,0.382590,0.999374,0.949063
95,granular,242955,43,3,0.621000,0.340817,0.218969,0.192133,0.382124,0.999401,0.949033
96,sampler,253125,45,0,0.586000,0.318811,0.213075,0.185546,0.370214,0.999942,0.947988
97,resonator,253485,45,1,0.677000,0.318181,0.212886,0.185359,0.369839,0.999952,0.947944
98,granular,253845,45,2,0.768000,0.317562,0.212699,0.185176,0.369466,0.999960,0.947899
99,sampler,254205,45,3,0.859000,0.316953,0.212512,0.184995,0.369097,0.999968,0.947854
100,resonator,264375,47,0,0.824000,0.304147,0.207813,0.181216,0.360039,0.999812,0.946391
101,granular,264735,47,1,0.208000,0.303851,0.207667,0.181129,0.359768,0.999792,0.946332
102,sampler,265095,47,2,0.299000,0.303566,0.207521,0.181046,0.359501,0.999770,0.946273
103,resonator,265455,47,3,0.390000,0.303292,0.207378,0.180965,0.359238,0.999748,0.946213
104,granular,275625,49,0,0.355000,0.300078,0.203889,0.180023,0.353279,0.998575,0.944333
105,sampler,275985,49,1,0.446000,0.300125,0.203785,0.180037,0.353121,0.998512,0.944260
106,resonator,276345,49,2,0.537000,0.300183,0.203683,0.180054,0.352968,0.998449,0.944186
107,granular,276705,49,3,0.628000,0.300253,0.203583,0.180074,0.352819,0.998383,0.944112
108,sampler,286875,51,0,0.593000,0.306730,0.201316,0.181976,0.350182,0.995832,0.941817
109,resonator,287235,51,1,0.684000,0.307118,0.201256,0.182090,0.350145,0.995715,0.941729
110,granular,287595,51,2,0.775000,0.307518,0.201197,0.182208,0.350113,0.995596,0.941640
111,sampler,287955,51,3,0.866000,0.307928,0.201140,0.182328,0.350085,0.995474,0.941551
112,resonator,292500,52,0,0.712000,0.314025,0.200539,0.184128,0.350076,0.993763,0.940388
113,granular,292860,52,1,0.803000,0.314580,0.200501,0.184292,0.350103,0.993613,0.940292
114,sampler,293220,52,2,0.187000,0.315146,0.200464,0.184460,0.350133,0.993460,0.940197
115,resonator,293580,52,3,0.278000,0.315723,0.200429,0.184631,0.350168,0.993305,0.940100
116,granular,303750,54,0,0.243000,0.336273,0.200008,0.190764,0.352865,0.987944,0.937189
117,sampler,304110,54,1,0.334000,0.337148,0.200014,0.191027,0.353022,0.987717,0.937079
118,resonator,304470,54,2,0.425000,0.338033,0.200021,0.191294,0.353183,0.987487,0.936968
119,granular,304830,54,3,0.516000,0.338928,0.200029,0.191563,0.353348,0.987254,0.936858
120,sampler,315000,56,0,0.481000,0.368133,0.200842,0.200464,0.359776,0.979498,0.933538
121,resonator,315360,56,1,0.572000,0.369301,0.200892,0.200824,0.360067,0.979179,0.933414
122,granular,315720,56,2,0.663000,0.370478,0.200942,0.201187,0.360362,0.978857,0.933289
123,sampler,316080,56,3,0.754000,0.371663,0.200994,0.201554,0.360661,0.978532,0.933164
124,resonator,326250,58,0,0.719000,0.408628,0.203038,0.213153,0.370905,0.967967,0.929440
125,granular,326610,58,1,0.810000,0.410053,0.203131,0.213607,0.371332,0.967542,0.929302
126,sampler,326970,58,2,0.194000,0.411486,0.203225,0.214064,0.371762,0.967113,0.929163
127,resonator,327330,58,3,0.285000,0.412926,0.203320,0.214525,0.372197,0.966681,0.929023
128,granular,337500,60,0,0.250000,0.456517,0.206588,0.228733,0.386286,0.952915,0.924899
129,sampler,337860,60,1,0.341000,0.458156,0.206724,0.229278,0.386848,0.952371,0.924746
130,resonator,338220,60,2,0.432000,0.459800,0.206861,0.229826,0.387415,0.951822,0.924593
131,granular,338580,60,3,0.523000,0.461451,0.207000,0.230377,0.387986,0.951270,0.924440
132,sampler,348750,62,0,0.488000,0.510334,0.211481,0.247086,0.405883,0.933957,0.919919
133,resonator,349110,62,1,0.579000,0.512136,0.211659,0.247718,0.406579,0.933282,0.919752
134,granular,349470,62,2,0.670000,0.513942,0.211839,0.248352,0.407279,0.932602,0.919585
135,sampler,349830,62,3,0.761000,0.515753,0.212020,0.248989,0.407983,0.931919,0.919418
136,resonator,354375,63,0,0.607000,0.538955,0.214425,0.257259,0.417231,0.922912,0.917266
137,granular,354735,63,1,0.698000,0.540819,0.214625,0.257932,0.417992,0.922168,0.917092
138,sampler,355095,63,2,0.789000,0.542685,0.214826,0.258608,0.418757,0.921420,0.916919
139,resonator,355455,63,3,0.880000,0.544555,0.215028,0.259286,0.419526,0.920668,0.916744
140,granular,365625,65,0,0.845000,0.598529,0.221298,0.279500,0.442918,0.897543,0.911638
141,sampler,365985,65,1,0.229000,0.600471,0.221539,0.280252,0.443804,0.896657,0.911451
142,resonator,366345,65,2,0.320000,0.602415,0.221782,0.281006,0.444694,0.895767,0.911263
143,granular,366705,65,3,0.411000,0.604361,0.222026,0.281763,0.445587,0.894873,0.911075
144,sampler,376875,67,0,0.376000,0.659680,0.229463,0.304123,0.472389,0.867690,0.905585
145,resonator,377235,67,1,0.467000,0.661641,0.229745,0.304948,0.473391,0.866660,0.905384
146,granular,377595,67,2,0.558000,0.663603,0.230029,0.305776,0.474397,0.865625,0.905183
147,sampler,377955,67,3,0.649000,0.665564,0.230314,0.306606,0.475406,0.864586,0.904982
148,resonator,388125,69,0,0.614000,0.720533,0.238892,0.330940,0.505323,0.833341,0.899113
149,granular,388485,69,1,0.705000,0.722455,0.239214,0.331832,0.506430,0.832169,0.898899
150,sampler,388845,69,2,0.796000,0.724374,0.239538,0.332727,0.507540,0.830992,0.898685
151,resonator,389205,69,3,0.180000,0.726291,0.239862,0.333623,0.508653,0.829811,0.898470
152,granular,399375,71,0,0.852000,0.779227,0.249553,0.359745,0.541314,0.794640,0.892230
153,sampler,399735,71,1,0.236000,0.781049,0.249914,0.360698,0.542511,0.793333,0.892003
154,resonator,400095,71,2,0.327000,0.782867,0.250276,0.361652,0.543711,0.792022,0.891775
155,granular,400455,71,3,0.418000,0.784680,0.250640,0.362607,0.544913,0.790706,0.891548
156,sampler,410625,73,0,0.383000,0.833961,0.261410,0.390317,0.579870,0.751895,0.884941
157,resonator,410985,73,1,0.474000,0.835628,0.261808,0.391322,0.581140,0.750466,0.884701
158,granular,411345,73,2,0.565000,0.837289,0.262208,0.392329,0.582412,0.749032,0.884461
159,sampler,411705,73,3,0.656000,0.838944,0.262609,0.393337,0.583686,0.747595,0.884221
160,resonator,416250,74,0,0.502000,0.859313,0.267774,0.406193,0.599934,0.729149,0.881148
161,granular,416610,74,1,0.593000,0.860883,0.268191,0.407221,0.601234,0.727664,0.880901
162,sampler,416970,74,2,0.684000,0.862446,0.268609,0.408251,0.602535,0.726176,0.880655
163,resonator,417330,74,3,0.775000,0.864003,0.269028,0.409283,0.603837,0.724685,0.880408
164,granular,427500,76,0,0.740000,0.905017,0.281347,0.438972,0.641244,0.681280,0.873266
165,sampler,427860,76,1,0.831000,0.906357,0.281799,0.440041,0.642587,0.679702,0.873007
166,resonator,428220,76,2,0.215000,0.907689,0.282253,0.441112,0.643930,0.678121,0.872748
167,granular,428580,76,3,0.306000,0.909014,0.282708,0.442183,0.645274,0.676538,0.872489
168,sampler,438750,78,0,0.271000,0.942908,0.296007,0.472909,0.683559,0.630852,0.864999
169,resonator,439110,78,1,0.362000,0.943978,0.296494,0.474012,0.684922,0.629205,0.864728
170,granular,439470,78,2,0.453000,0.945038,0.296981,0.475115,0.686285,0.627557,0.864457
171,sampler,439830,78,3,0.544000,0.946090,0.297470,0.476219,0.687648,0.625906,0.864186
172,resonator,450000,80,0,0.509000,0.971826,0.311704,0.507745,0.726147,0.578702,0.856356
173,granular,450360,80,1,0.600000,0.972592,0.312223,0.508872,0.727506,0.577015,0.856073
174,sampler,450720,80,2,0.691000,0.973349,0.312743,0.509999,0.728864,0.575327,0.855790
175,resonator,451080,80,3,0.782000,0.974095,0.313264,0.511127,0.730222,0.573639,0.855506
176,granular,461250,82,0,0.747000,0.990884,0.328385,0.543213,0.768234,0.525764,0.847344
177,sampler,461610,82,1,0.838000,0.991324,0.328935,0.544355,0.769564,0.524068,0.847050
178,resonator,461970,82,2,0.222000,0.991753,0.329485,0.545498,0.770892,0.522373,0.846755
179,granular,462330,82,3,0.313000,0.992171,0.330036,0.546641,0.772219,0.520677,0.846460
180,sampler,472500,84,0,0.278000,0.999500,0.345993,0.579039,0.809021,0.473031,0.837974
181,resonator,472860,84,1,0.369000,0.999599,0.346571,0.580188,0.810296,0.471358,0.837668
182,granular,473220,84,2,0.460000,0.999688,0.347150,0.581338,0.811569,0.469686,0.837362
183,sampler,473580,84,3,0.551000,0.999765,0.347730,0.582487,0.812839,0.468016,0.837056
184,resonator,478125,85,0,0.397000,0.999796,0.355126,0.597001,0.828675,0.447055,0.833158
185,granular,478485,85,1,0.488000,0.999723,0.355717,0.598150,0.829913,0.445405,0.832846
186,sampler,478845,85,2,0.579000,0.999640,0.356310,0.599300,0.831148,0.443758,0.832535
187,resonator,479205,85,3,0.670000,0.999545,0.356903,0.600449,0.832380,0.442112,0.832223
188,granular,489375,87,0,0.635000,0.992354,0.374010,0.632850,0.866003,0.396499,0.823268
189,sampler,489735,87,1,0.726000,0.991941,0.374627,0.633993,0.867148,0.394920,0.822946
190,resonator,490095,87,2,0.817000,0.991516,0.375245,0.635136,0.868289,0.393344,0.822624
191,granular,490455,87,3,0.201000,0.991082,0.375864,0.636279,0.869426,0.391770,0.822301
192,sampler,500625,89,0,0.873000,0.974424,0.393665,0.668370,0.900047,0.348579,0.813045
193,resonator,500985,89,1,0.257000,0.973682,0.394306,0.669498,0.901074,0.347098,0.812712
194,granular,501345,89,2,0.348000,0.972931,0.394947,0.670626,0.902097,0.345622,0.812379
195,sampler,501705,89,3,0.439000,0.972169,0.395590,0.671753,0.903115,0.344149,0.812046
196,resonator,511875,91,0,0.404000,0.946555,0.414024,0.703289,0.930073,0.304130,0.802498
197,granular,512235,91,1,0.495000,0.945508,0.414686,0.704394,0.930959,0.302773,0.802156
198,sampler,512595,91,2,0.586000,0.944451,0.415349,0.705497,0.931841,0.301421,0.801813
199,resonator,512955,91,3,0.677000,0.943386,0.416013,0.706600,0.932718,0.300073,0.801469
200,granular,523125,93,0,0.642000,0.909601,0.435017,0.737339,0.955410,0.263856,0.791640
201,sampler,523485,93,1,0.733000,0.908280,0.435699,0.738411,0.956137,0.262643,0.791287
202,resonator,523845,93,2,0.824000,0.906952,0.436381,0.739482,0.956858,0.261434,0.790934
203,granular,524205,93,3,0.208000,0.905615,0.437063,0.740552,0.957574,0.260231,0.790581
204,sampler,534375,95,0,0.880000,0.864694,0.456573,0.770258,0.975477,0.228298,0.780480
