# engine-macro-orbits control log
sample_rate_hz=48000 frames=869268 bpm=123 beats=32
euclid_steps=15 fills=9 rotate=5 steps_per_beat=8
burst_cluster=5 spacing_samples=300 frames_per_step=2926.83
euclid_seed=0xbad0bee burst_seed=0xf11ed5e
events=765
index,engine,when_samples,euclid_step,burst_idx,pan_seed,macro_orbit,macro_tilt,sampler_contour,sampler_crunch,resonator_damping,resonator_spark,granular_spray
122,sampler,120600,41,2,0.176000,0.822735,0.962493,0.896786,0.931727,0.644105,0.238500,0.902626
123,granular,120900,41,3,0.399200,0.822607,0.962607,0.895744,0.932105,0.643523,0.238396,0.902922
124,resonator,121200,41,4,0.622400,0.822479,0.962720,0.894698,0.932482,0.642941,0.238294,0.903218
125,resonator,125854,43,0,0.780800,0.820478,0.964437,0.877927,0.938205,0.633925,0.236852,0.907826
126,sampler,126154,43,1,0.284000,0.820349,0.964544,0.876812,0.938566,0.633344,0.236768,0.908123
127,granular,126454,43,2,0.507200,0.820219,0.964651,0.875693,0.938926,0.632764,0.236686,0.908421
128,resonator,126754,43,3,0.730400,0.820090,0.964758,0.874570,0.939285,0.632184,0.236604,0.908718
129,sampler,127054,43,4,0.233600,0.819960,0.964865,0.873443,0.939643,0.631605,0.236524,0.909016
130,granular,128780,44,0,0.226400,0.819212,0.965470,0.866882,0.941684,0.628272,0.236080,0.910727
131,resonator,129080,44,1,0.449600,0.819082,0.965574,0.865728,0.942035,0.627693,0.236006,0.911024
132,sampler,129380,44,2,0.672800,0.818951,0.965678,0.864571,0.942386,0.627114,0.235934,0.911322
133,granular,129680,44,3,0.176000,0.818821,0.965781,0.863410,0.942735,0.626536,0.235862,0.911619
134,resonator,129980,44,4,0.399200,0.818690,0.965884,0.862245,0.943083,0.625958,0.235791,0.911916
135,resonator,134634,46,0,0.557600,0.816657,0.967434,0.843702,0.948363,0.617008,0.234805,0.916515
136,sampler,134934,46,1,0.780800,0.816526,0.967530,0.842477,0.948695,0.616432,0.234748,0.916810
137,granular,135234,46,2,0.284000,0.816394,0.967627,0.841249,0.949026,0.615857,0.234693,0.917106
138,resonator,135534,46,3,0.507200,0.816262,0.967723,0.840018,0.949356,0.615282,0.234638,0.917401
139,sampler,135834,46,4,0.730400,0.816130,0.967819,0.838783,0.949685,0.614707,0.234583,0.917696
140,sampler,140488,48,0,0.168800,0.814075,0.969256,0.819206,0.954661,0.605815,0.233836,0.922247
141,granular,140788,48,1,0.392000,0.813942,0.969346,0.817918,0.954974,0.605243,0.233793,0.922539
142,resonator,141088,48,2,0.615200,0.813809,0.969435,0.816627,0.955285,0.604672,0.233751,0.922830
143,sampler,141388,48,3,0.838400,0.813676,0.969524,0.815333,0.955595,0.604101,0.233710,0.923121
144,granular,141688,48,4,0.341600,0.813542,0.969612,0.814037,0.955905,0.603530,0.233670,0.923412
145,resonator,143415,49,0,0.334400,0.812774,0.970114,0.806514,0.957666,0.600249,0.233448,0.925081
146,sampler,143715,49,1,0.557600,0.812640,0.970200,0.805198,0.957968,0.599680,0.233412,0.925370
147,granular,144015,49,2,0.780800,0.812506,0.970286,0.803878,0.958270,0.599111,0.233376,0.925659
148,resonator,144315,49,3,0.284000,0.812372,0.970371,0.802556,0.958570,0.598543,0.233341,0.925947
149,sampler,144615,49,4,0.507200,0.812238,0.970456,0.801232,0.958869,0.597974,0.233306,0.926235
150,sampler,149268,51,0,0.665600,0.810151,0.971725,0.780348,0.963380,0.589192,0.232836,0.930664
151,granular,149568,51,1,0.168800,0.810016,0.971803,0.778981,0.963663,0.588628,0.232810,0.930947
152,resonator,149868,51,2,0.392000,0.809881,0.971882,0.777612,0.963944,0.588064,0.232784,0.931230
153,sampler,150168,51,3,0.615200,0.809746,0.971960,0.776240,0.964224,0.587500,0.232759,0.931512
154,granular,150468,51,4,0.838400,0.809610,0.972037,0.774866,0.964503,0.586937,0.232734,0.931793
155,granular,155122,53,0,0.276800,0.807502,0.973193,0.753271,0.968700,0.578238,0.232404,0.936114
156,resonator,155422,53,1,0.500000,0.807365,0.973265,0.751862,0.968961,0.577680,0.232386,0.936390
157,sampler,155722,53,2,0.723200,0.807228,0.973336,0.750451,0.969222,0.577122,0.232368,0.936665
158,granular,156022,53,3,0.226400,0.807092,0.973406,0.749039,0.969482,0.576564,0.232351,0.936939
159,resonator,156322,53,4,0.449600,0.806955,0.973477,0.747624,0.969740,0.576007,0.232334,0.937213
160,sampler,158049,54,0,0.442400,0.806167,0.973874,0.739447,0.971209,0.572805,0.232242,0.938782
161,granular,158349,54,1,0.665600,0.806029,0.973942,0.738021,0.971460,0.572250,0.232228,0.939053
162,resonator,158649,54,2,0.168800,0.805892,0.974009,0.736593,0.971711,0.571695,0.232213,0.939323
163,sampler,158949,54,3,0.392000,0.805755,0.974076,0.735163,0.971960,0.571140,0.232199,0.939593
164,granular,159249,54,4,0.615200,0.805617,0.974143,0.733732,0.972208,0.570586,0.232185,0.939863
165,granular,163902,56,0,0.773600,0.803477,0.975129,0.711344,0.975922,0.562037,0.232006,0.943985
166,resonator,164202,56,1,0.276800,0.803339,0.975189,0.709890,0.976153,0.561488,0.231997,0.944247
167,sampler,164502,56,2,0.500000,0.803200,0.975249,0.708434,0.976382,0.560941,0.231987,0.944508
168,granular,164802,56,3,0.723200,0.803062,0.975309,0.706977,0.976611,0.560393,0.231978,0.944769
169,resonator,165102,56,4,0.226400,0.802923,0.975368,0.705520,0.976838,0.559846,0.231969,0.945029
170,resonator,169756,58,0,0.384800,0.800761,0.976240,0.682776,0.980227,0.551406,0.231855,0.949001
171,sampler,170056,58,1,0.608000,0.800622,0.976294,0.681303,0.980437,0.550865,0.231849,0.949253
172,granular,170356,58,2,0.831200,0.800482,0.976346,0.679829,0.980645,0.550325,0.231843,0.949504
173,resonator,170656,58,3,0.334400,0.800342,0.976399,0.678355,0.980852,0.549785,0.231837,0.949755
174,sampler,170956,58,4,0.557600,0.800202,0.976451,0.676880,0.981058,0.549245,0.231831,0.950005
175,granular,172683,59,0,0.550400,0.799394,0.976743,0.668377,0.982224,0.546147,0.231800,0.951433
176,resonator,172983,59,1,0.773600,0.799253,0.976792,0.666898,0.982423,0.545610,0.231795,0.951679
177,sampler,173283,59,2,0.276800,0.799113,0.976841,0.665418,0.982621,0.545074,0.231790,0.951925
178,granular,173583,59,3,0.500000,0.798972,0.976890,0.663939,0.982818,0.544538,0.231785,0.952170
179,resonator,173883,59,4,0.723200,0.798831,0.976938,0.662459,0.983013,0.544003,0.231780,0.952415
180,resonator,178537,61,0,0.161600,0.796639,0.977639,0.639464,0.985906,0.535750,0.231712,0.956135
181,sampler,178837,61,1,0.384800,0.796497,0.977681,0.637980,0.986084,0.535222,0.231707,0.956370
182,granular,179137,61,2,0.608000,0.796355,0.977723,0.636497,0.986260,0.534694,0.231703,0.956604
183,resonator,179437,61,3,0.831200,0.796213,0.977764,0.635014,0.986435,0.534167,0.231699,0.956838
184,sampler,179737,61,4,0.334400,0.796071,0.977805,0.633531,0.986609,0.533640,0.231695,0.957071
185,sampler,184390,63,0,0.492800,0.793859,0.978392,0.610559,0.989167,0.525527,0.231623,0.960609
186,granular,184690,63,1,0.716000,0.793715,0.978427,0.609081,0.989323,0.525007,0.231618,0.960832
187,resonator,184990,63,2,0.219200,0.793572,0.978461,0.607603,0.989478,0.524489,0.231613,0.961054
188,sampler,185290,63,3,0.442400,0.793429,0.978495,0.606127,0.989631,0.523971,0.231607,0.961276
189,granular,185590,63,4,0.665600,0.793285,0.978529,0.604650,0.989784,0.523453,0.231602,0.961497
